sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","","","","Manual Only"
"C31294","","","Passed","Manual Only"
"C31294","826s","","Failed","Manual Only"
"C31294","","","","Manual Only"
"C31285","","","","Manual Only"
"C31285","341s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31287","","","","Manual Only"
"C31287","505s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31288","","","","Manual Only"
"C31288","180s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31289","","","","Manual Only"
"C31289","223s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31290","","","","Manual Only"
"C31290","227s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C34056","","","","Manual Only"
"C34056","223s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C31286","","","","Manual Only"
"C31286","442s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C64134","","","","Manual Only"
"C64134","249s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C31291","","","","Manual Only"
"C31291","303s","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31292","103s","INWK.EStore.srprofile","Passed","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C31293","47s","INWK.EStore.srprofile","Passed","Automated"
"C31293","47s","INWK.EStore.srprofile","Retest","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4667","71s","INWK.EStore.srprofile","Passed","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4668","","","","Manual Only"
"C4668","206s","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C2771","","","","Manual Only"
"C2771","69s","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2773","","","","Manual Only"
"C2773","61s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C31284","","INWK.EStore.srprofile","","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C31284","175s","INWK.EStore.srprofile","Passed","Automated"
"C31284","181s","INWK.EStore.srprofile","Retest","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
