sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","452s","","Passed","Manual Only"
"C31294","341s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31294","","","","Manual Only"
"C31285","275s","","Passed","Manual Only"
"C31285","439s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31285","","","","Manual Only"
"C31287","413s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31287","","","","Manual Only"
"C31288","374s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31288","","","","Manual Only"
"C31289","386s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31289","","","","Manual Only"
"C31290","361s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C31290","","","","Manual Only"
"C34056","429s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C34056","","","","Manual Only"
"C31286","475s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C31286","","","","Manual Only"
"C64134","188s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C64134","","","","Manual Only"
"C31291","290s","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31291","","","","Manual Only"
"C31292","92s","INWK.EStore.srprofile","Passed","Automated"
"C31292","97s","INWK.EStore.srprofile","Retest","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","46s","INWK.EStore.srprofile","Passed","Automated"
"C31293","30s","INWK.EStore.srprofile","Retest","Automated"
"C31293","48s","INWK.EStore.srprofile","Retest","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","78s","INWK.EStore.srprofile","Passed","Automated"
"C4667","65s","INWK.EStore.srprofile","Retest","Automated"
"C4667","71s","INWK.EStore.srprofile","Retest","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4668","308s","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C4668","","","","Manual Only"
"C2771","200s","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2771","","","","Manual Only"
"C2773","155s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C2773","","","","Manual Only"
"C31284","63s","INWK.EStore.srprofile","Passed","Automated"
"C31284","39s","INWK.EStore.srprofile","Retest","Automated"
"C31284","17s","INWK.EStore.srprofile","Retest","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","173s","INWK.EStore.srprofile","Passed","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","494s","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3101","","","","Manual Only"
"C3102","1182s","","Passed","Manual Only"
"C3102","","","","Manual Only"
"C3102","","","","Manual Only"
"C3107","744s","","Passed","Manual Only"
"C3107","","","","Manual Only"
"C3107","","","","Manual Only"
"C3108","907s","","Passed","Manual Only"
"C3108","","","","Manual Only"
"C3108","","","","Manual Only"
"C3103","386s","","Passed","Manual Only"
"C3103","","","","Manual Only"
"C3103","","","","Manual Only"
"C3104","728s","","Passed","Manual Only"
"C3104","","","","Manual Only"
"C3104","","","","Manual Only"
"C3105","569s","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C3105","","","","Manual Only"
"C31295","77s","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31295","","","","Manual Only"
"C31296","155s","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31296","","","","Manual Only"
"C31301","114s","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31301","","","","Manual Only"
"C31297","179s","INWK.EStore.srprofile","Passed","Automated"
"C31297","217s","INWK.EStore.srprofile","Retest","Automated"
"C31297","270s","INWK.EStore.srprofile","Retest","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31298","176s","INWK.EStore.srprofile","Passed","Automated"
"C31298","210s","INWK.EStore.srprofile","Retest","Automated"
"C31298","69s","INWK.EStore.srprofile","Retest","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31299","162s","","Passed","Manual Only"
"C31299","","","","Manual Only"
"C31299","","","","Manual Only"
"C31300","171s","","Passed","Manual Only"
"C31300","","","","Manual Only"
"C31300","","","","Manual Only"
"C31302","557s","","Passed","Manual Only"
"C31302","","","","Manual Only"
"C31302","","","","Manual Only"
"C31303","35s","INWK.EStore.srprofile","Passed","Automated"
"C31303","12s","INWK.EStore.srprofile","Retest","Automated"
"C31303","16s","INWK.EStore.srprofile","Retest","Automated"
"C31303","20s","INWK.EStore.srprofile","Retest","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31304","257s","","Passed","Manual Only"
"C31304","","","","Manual Only"
"C31304","","","","Manual Only"
"C31305","10s","INWK.EStore.srprofile","Passed","Automated"
"C31305","23s","INWK.EStore.srprofile","Retest","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31306","63s","INWK.EStore.srprofile","Passed","Automated"
"C31306","35s","INWK.EStore.srprofile","Retest","Automated"
"C31306","26s","INWK.EStore.srprofile","Retest","Automated"
"C31306","","INWK.EStore.srprofile","","Automated"
"C43268","160s","INWK.EStore.srprofile","Passed","Automated"
"C43268","183s","INWK.EStore.srprofile","Passed","Automated"
"C43268","","INWK.EStore.srprofile","","Automated"
"C51921","45s","INWK.EStore.srprofile","Passed","Automated"
"C51921","72s","INWK.EStore.srprofile","Retest","Automated"
"C51921","","INWK.EStore.srprofile","","Automated"
"C43264","94s","INWK.EStore.srprofile","Passed","Automated"
"C43264","74s","INWK.EStore.srprofile","Retest","Automated"
"C43264","","INWK.EStore.srprofile","","Automated"
"C42221","152s","INWK.EStore.srprofile","Passed","Automated"
"C42221","72s","INWK.EStore.srprofile","Retest","Automated"
"C42221","","INWK.EStore.srprofile","","Automated"
"C43207","2195s","INWK.EStore.srprofile","Passed","Automated"
"C43207","336s","INWK.EStore.srprofile","Retest","Automated"
"C43207","327s","INWK.EStore.srprofile","Retest","Automated"
"C43207","322s","INWK.EStore.srprofile","Retest","Automated"
"C43207","322s","INWK.EStore.srprofile","Retest","Automated"
