sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C31294","142s","","Passed","Manual Only"
"C31294","","","","Manual Only"
"C31285","102s","","Passed","Manual Only"
"C31285","","","","Manual Only"
"C31287","393s","","Passed","Manual Only"
"C31287","","","","Manual Only"
"C31288","166s","","Passed","Manual Only"
"C31288","","","","Manual Only"
"C31289","102s","","Passed","Manual Only"
"C31289","","","","Manual Only"
"C31290","197s","","Passed","Manual Only"
"C31290","","","","Manual Only"
"C34056","184s","","Passed","Manual Only"
"C34056","","","","Manual Only"
"C31286","418s","","Passed","Manual Only"
"C31286","","","","Manual Only"
"C64134","86s","","Passed","Manual Only"
"C64134","","","","Manual Only"
"C31291","341s","","Passed","Manual Only"
"C31291","","","","Manual Only"
"C31292","94s","INWK.EStore.srprofile","Passed","Automated"
"C31292","","INWK.EStore.srprofile","","Automated"
"C31293","49s","INWK.EStore.srprofile","Passed","Automated"
"C31293","29s","INWK.EStore.srprofile","Retest","Automated"
"C31293","","INWK.EStore.srprofile","","Automated"
"C4667","76s","INWK.EStore.srprofile","Passed","Automated"
"C4667","67s","INWK.EStore.srprofile","Retest","Automated"
"C4667","","INWK.EStore.srprofile","","Automated"
"C4668","519s","","Passed","Manual Only"
"C4668","","","","Manual Only"
"C2771","119s","","Passed","Manual Only"
"C2771","","","","Manual Only"
"C2773","28s","","Passed","Manual Only"
"C2773","","","","Manual Only"
"C31284","179s","INWK.EStore.srprofile","Passed","Automated"
"C31284","183s","INWK.EStore.srprofile","Retest","Automated"
"C31284","","INWK.EStore.srprofile","","Automated"
"C3100","164s","INWK.EStore.srprofile","Passed","Automated"
"C3100","","INWK.EStore.srprofile","","Automated"
"C3101","438s","","Passed","Manual Only"
"C3101","","","","Manual Only"
"C3102","505s","","Passed","Manual Only"
"C3102","","","","Manual Only"
"C3107","1633s","","Passed","Manual Only"
"C3107","","","","Manual Only"
"C3108","389s","","Passed","Manual Only"
"C3108","","","","Manual Only"
"C3103","230s","","Passed","Manual Only"
"C3103","","","","Manual Only"
"C3104","582s","","Passed","Manual Only"
"C3104","","","","Manual Only"
"C3105","522s","","Passed","Manual Only"
"C3105","","","","Manual Only"
"C31295","38s","","Passed","Manual Only"
"C31295","","","","Manual Only"
"C31296","159s","","Passed","Manual Only"
"C31296","","","","Manual Only"
"C31301","50s","","Passed","Manual Only"
"C31301","","","","Manual Only"
"C31297","174s","INWK.EStore.srprofile","Passed","Automated"
"C31297","","INWK.EStore.srprofile","","Automated"
"C31298","198s","INWK.EStore.srprofile","Passed","Automated"
"C31298","","INWK.EStore.srprofile","","Automated"
"C31299","146s","","Passed","Manual Only"
"C31299","","","","Manual Only"
"C31300","21s","","Passed","Manual Only"
"C31300","","","","Manual Only"
"C31302","578s","","Passed","Manual Only"
"C31302","","","","Manual Only"
"C31303","33s","INWK.EStore.srprofile","Passed","Automated"
"C31303","","INWK.EStore.srprofile","","Automated"
"C31304","89s","","Passed","Manual Only"
"C31304","","","","Manual Only"
"C31305","131s","INWK.EStore.srprofile","Passed","Automated"
"C31305","","INWK.EStore.srprofile","","Automated"
"C31306","54s","INWK.EStore.srprofile","Passed","Automated"
"C31306","","INWK.EStore.srprofile","","Automated"
"C43268","166s","INWK.EStore.srprofile","Passed","Automated"
"C43268","","INWK.EStore.srprofile","","Automated"
"C51921","53s","INWK.EStore.srprofile","Passed","Automated"
"C51921","","INWK.EStore.srprofile","","Automated"
"C43264","102s","INWK.EStore.srprofile","Passed","Automated"
"C43264","","INWK.EStore.srprofile","","Automated"
"C42221","153s","INWK.EStore.srprofile","Passed","Automated"
"C42221","","INWK.EStore.srprofile","","Automated"
"C43207","2245s","INWK.EStore.srprofile","Passed","Automated"
"C43207","379s","INWK.EStore.srprofile","Retest","Automated"
"C43207","322s","INWK.EStore.srprofile","Retest","Automated"
"C43207","","INWK.EStore.srprofile","","Automated"
"C43358","1735s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43358","","INWK.EStore.srprofile","","To Be Automated"
"C328050","284s","","Passed","To Be Automated"
"C328050","","","","To Be Automated"
"C42232","45s","INWK.EStore.srprofile","Passed","Automated"
"C42232","","INWK.EStore.srprofile","","Automated"
"C43209","955s","INWK.EStore.srprofile","Passed","Automated"
"C43209","108s","INWK.EStore.srprofile","Retest","Automated"
"C43209","322s","INWK.EStore.srprofile","Retest","Automated"
"C43209","","INWK.EStore.srprofile","","Automated"
"C43359","1448s","INWK.EStore.srprofile","Passed","To Be Automated"
"C43359","","INWK.EStore.srprofile","","To Be Automated"
"C48465","77s","INWK.EStore.srprofile","Passed","Automated"
"C48465","","INWK.EStore.srprofile","","Automated"
"C328051","735s","","Passed","To Be Automated"
"C328051","","","","To Be Automated"
"C42233","65s","INWK.EStore.srprofile","Passed","Automated"
"C42233","","INWK.EStore.srprofile","","Automated"
"C43211","1256s","INWK.EStore.srprofile","Passed","Automated"
"C43211","82s","INWK.EStore.srprofile","Retest","Automated"
"C43211","327s","INWK.EStore.srprofile","Retest","Automated"
"C43211","321s","INWK.EStore.srprofile","Retest","Automated"
"C43211","","INWK.EStore.srprofile","","Automated"
